id_pedido,id_cliente,data_pedido,canal,valor_bruto,desconto,categoria,subcategoria,prazo_estimado_dias,prazo_real_dias,avaliacao
1,296,2024-02-11,App,109.36,17.58,Livros,Educação,2,1,5
2,470,2024-10-11,Web,1102.39,155.72,Livros,Tablet,3,2,4
3,165,2024-04-17,App,106.58,6.05,Livros,Não-ficção,3,1,4
4,484,2025-02-14,App,1420.14,168.82,Eletrônicos,Tablet,9,10,3
5,497,2025-02-17,App,6710.19,709.24,Livros,Bola,3,4,4
6,388,2025-05-25,App,1173.76,142.86,Beleza,Aspirador,4,4,4
7,225,2025-05-11,Web,1757.77,237.92,Beleza,Maquiagem,3,3,4
8,59,2025-04-17,App,330.19,10.85,Casa & Cozinha,Não-ficção,5,6,4
9,362,2024-10-06,Web,49.67,5.81,Livros,Ficção,4,3,4
10,283,2024-05-28,Web,2966.49,180.0,Livros,Não-ficção,3,2,4
11,479,2025-06-03,Web,406.74,32.14,Beleza,Creme,3,1,5
12,297,2025-05-16,App,53.84,1.98,Livros,Ficção,3,4,4
13,283,2025-07-10,Web,1949.25,162.77,Beleza,Shampoo,6,5,5
14,163,2025-04-29,App,2934.66,328.97,Casa & Cozinha,Camiseta,7,10,2
15,170,2024-04-12,App,319.62,33.74,Livros,Educação,5,8,3
16,8,2024-05-27,Web,13848.36,2319.31,Casa & Cozinha,Tablet,2,2,4
17,174,2025-09-30,App,517.7,97.61,Beleza,Educação,3,6,5
18,368,2025-05-14,App,1575.82,134.5,Eletrônicos,Fone de Ouvido,4,3,4
19,351,2024-10-21,App,4589.3,268.63,Eletrônicos,Bicicleta,2,3,3
20,52,2025-03-30,Web,1772.69,31.9,Eletrônicos,Notebook,2,1,4
21,408,2024-02-27,Web,1251.93,120.13,Casa & Cozinha,Panela,10,10,4
22,211,2025-08-02,App,1492.62,104.91,Casa & Cozinha,Cafeteira,3,3,5
23,446,2025-01-26,App,148.16,25.94,Livros,Infantil,2,4,3
24,237,2024-09-17,Web,2957.79,0.0,Beleza,Creme,5,5,4
25,227,2024-12-19,App,106.62,16.62,Esporte,Bicicleta,6,6,4
26,234,2024-11-05,Web,53.84,10.61,Livros,Ficção,1,1,4
27,196,2025-08-08,Web,563.23,41.36,Beleza,Creme,4,3,5
28,425,2025-02-09,Web,6034.7,831.91,Livros,Não-ficção,5,1,5
29,398,2024-08-23,App,437.19,55.81,Casa & Cozinha,Aspirador,6,7,3
30,348,2024-05-20,App,9408.9,449.01,Beleza,Maquiagem,9,6,4
31,466,2024-10-29,Web,466.21,66.8,Casa & Cozinha,Aspirador,3,3,5
32,277,2025-01-09,Web,5003.62,213.79,Beleza,Shampoo,2,1,5
33,412,2024-04-27,Web,1989.84,187.91,Casa & Cozinha,Filtro de Água,6,5,3
34,371,2025-02-10,App,4474.43,619.99,Esporte,Tablet,10,10,3
35,345,2024-09-25,Web,8358.61,206.58,Casa & Cozinha,Filtro de Água,5,4,4
36,168,2025-09-16,Web,816.86,58.76,Esporte,Bola,1,1,3
37,155,2025-02-22,Web,2812.26,360.65,Eletrônicos,Notebook,9,11,3
38,253,2024-04-28,Web,3516.06,79.7,Esporte,Camiseta,6,7,4
39,277,2025-03-05,Web,3039.68,229.74,Eletrônicos,Garrafa,3,1,4
40,481,2024-10-13,Web,2163.15,197.82,Esporte,Bicicleta,6,8,4
41,121,2025-01-06,Web,169.57,0.25,Livros,HQ,1,1,4
42,496,2024-05-05,App,7772.87,719.17,Eletrônicos,Tablet,4,5,4
43,403,2025-08-01,Web,2775.12,198.68,Casa & Cozinha,Filtro de Água,4,4,5
44,404,2025-09-02,Web,2603.84,0.0,Casa & Cozinha,HQ,5,3,3
45,14,2024-05-14,Web,294.57,39.78,Beleza,Maquiagem,7,6,3
46,65,2025-03-07,Web,2112.54,109.04,Livros,Bola,1,3,4
47,56,2025-04-07,Web,3541.51,475.59,Beleza,Educação,4,2,4
48,246,2025-02-15,Web,2163.15,267.49,Esporte,Bicicleta,5,6,5
49,42,2024-11-25,App,549.17,50.17,Beleza,Perfume,6,6,4
50,300,2025-07-15,App,181.97,0.0,Livros,Educação,8,8,4
51,259,2025-09-11,Web,7073.22,750.16,Livros,TV,4,5,4
52,232,2024-08-21,Web,3637.56,473.53,Esporte,Garrafa,12,14,3
53,489,2024-06-05,App,1951.28,265.78,Eletrônicos,Tablet,7,6,4
54,48,2025-03-18,Web,1548.23,82.71,Casa & Cozinha,Liquidificador,3,4,5
55,288,2024-12-03,App,4428.32,957.65,Esporte,Bicicleta,7,8,4
56,370,2024-02-22,App,7187.64,999.96,Eletrônicos,TV,6,6,4
57,337,2025-05-08,Web,103.51,7.44,Livros,HQ,1,1,4
58,391,2024-10-12,Web,6253.18,458.12,Livros,HQ,3,3,4
59,15,2024-07-03,Web,454.91,51.39,Beleza,Protetor Solar,5,3,3
60,290,2025-02-14,Web,5255.55,219.83,Eletrônicos,Notebook,7,8,5
61,215,2025-04-09,Web,157.78,10.54,Beleza,Maquiagem,1,1,4
62,291,2025-09-02,Web,959.88,134.53,Casa & Cozinha,Panela,3,4,2
63,26,2024-03-24,Web,2382.41,405.07,Livros,Bicicleta,5,2,5
64,263,2024-04-26,Web,86.23,9.31,Livros,Ficção,3,4,4
65,158,2024-02-16,Web,16677.54,1312.88,Eletrônicos,Creme,1,1,3
66,62,2024-01-08,Web,1237.7,99.97,Casa & Cozinha,Liquidificador,8,5,4
67,361,2024-08-23,Web,9055.84,426.48,Esporte,Tablet,5,5,4
68,472,2024-03-20,App,176.02,8.24,Livros,Garrafa,2,5,4
69,59,2025-02-18,Web,855.76,79.82,Esporte,Bola,4,5,4
70,471,2025-01-05,Web,5230.66,204.94,Esporte,Bicicleta,6,7,4
71,174,2024-08-14,Web,85.2,4.18,Livros,Não-ficção,2,2,4
72,272,2025-06-06,Web,304.57,22.46,Beleza,Protetor Solar,1,1,3
73,102,2024-06-26,App,12624.51,689.21,Casa & Cozinha,Tablet,5,7,3
74,238,2025-07-31,App,183.11,19.07,Livros,Infantil,2,5,3
75,320,2024-11-26,App,3262.85,333.83,Casa & Cozinha,Bicicleta,8,8,5
76,156,2024-10-08,Web,7696.35,89.01,Eletrônicos,Tablet,9,7,4
77,232,2024-02-08,Web,8467.92,447.06,Eletrônicos,Tablet,4,1,4
78,379,2024-02-12,Web,2503.51,58.35,Beleza,Maquiagem,3,1,5
79,416,2024-12-17,App,557.68,99.85,Casa & Cozinha,Cafeteira,5,9,4
80,363,2025-03-24,App,660.97,28.97,Casa & Cozinha,Panela,6,9,4
81,470,2024-10-16,Web,3828.04,238.48,Beleza,Protetor Solar,2,1,3
82,348,2025-01-30,Web,998.7,92.66,Beleza,Protetor Solar,5,5,4
83,470,2024-12-24,Web,4046.65,683.24,Casa & Cozinha,Camiseta,10,9,4
84,159,2025-07-26,Web,1265.68,50.82,Casa & Cozinha,Educação,11,10,4
85,261,2025-01-05,Web,758.53,12.89,Casa & Cozinha,Filtro de Água,4,3,4
86,393,2025-05-12,Web,12658.46,1906.99,Eletrônicos,Creme,5,4,5
87,339,2024-12-10,App,389.1,54.26,Casa & Cozinha,Camiseta,2,3,3
88,395,2025-10-01,App,2710.2,300.82,Esporte,Bicicleta,2,3,3
89,187,2024-08-31,App,3045.11,551.71,Casa & Cozinha,Filtro de Água,6,6,5
90,415,2025-04-25,App,582.24,0.0,Livros,Infantil,1,1,3
91,237,2024-10-15,App,5671.47,332.0,Esporte,Garrafa,7,9,4
92,419,2024-07-23,App,38.32,0.0,Beleza,Shampoo,2,2,5
93,247,2025-01-15,Web,204.94,9.82,Livros,Educação,3,1,5
94,146,2024-03-26,App,69.15,9.6,Livros,Não-ficção,3,2,4
